message_id,date,time,utc,from_name,text,clean_text,word_count
message1931,26.1.2025,18:57:25,UTC+01:00,Jorge Buxadé 🇪🇸,"🔴 Deportación ilegales 🔴
Hace 4 años, yo reclamaba IDÉNTICA acción al gobierno de España que la que ha adoptado Donald Trump respecto de la Colombia de Petro:
“Suspender la emisión de visados a los países que no cooperen en los retornos, expulsiones o deportaciones”.
NOSOTROS LO HAREMOS
https://x.com/jorgebuxade/status/1442959754842759169?s=46&t=4Dpj8sxD4MIM1vxPLSBcFQ",deportación ilegales hace 4 años yo reclamaba idéntica acción al gobierno de españa que la que ha adoptado donald trump respecto de la colombia de petro suspender la emisión de visados a los países que no cooperen en los retornos expulsiones o deportaciones nosotros lo haremos,46
message445,26.2.2021,20:35:48,UTC+01:00,,"⚠️ Hilo con los principales hitos de la negligencia criminal de este Gobierno
https://twitter.com/jorgebuxade/status/1356369976853196806?s=28",hilo con los principales hitos de la negligencia criminal de este gobierno,12
message2032,26.2.2025,18:53:41,UTC+01:00,Jorge Buxadé 🇪🇸,"Hoy he podido acompañar a
@Vox_CortesCyL
en diversas reuniones con representantes de los sectores que siguen sufriendo más la deriva autodestructiva de Bruselas: agricultura, 🧑‍🌾ganadería 🐄y sector automoción. 🚗
Solo quieren trabajar, liberarse de las cargas que lastran sus empresas y explotaciones, crear empleo y competir en buena lid.
Es alucinante que los gobiernos de Pp y PSOE, durante décadas, se hayan limitado a subir impuestos, cargas, obligaciones, restricciones, inspecciones y formularios. Siempre hay una excusa: que si la crisis, que si el clima, que si ahora hay que pagar la deuda de los separatistas, que si la ayuda internacional,
Los nuestros a pagar más impuestos, y los de fuera colando sus productos en desleal competencia por culpa de acuerdos comerciales firmados en Bruselas, que les arruinan.
Escuchar y proponer. Aprender y trabajar. Gracias.",hoy he podido acompañar a vox_cortescyl en diversas reuniones con representantes de los sectores que siguen sufriendo más la deriva autodestructiva de bruselas agricultura ganadería y sector automoción solo quieren trabajar liberarse de las cargas que lastran sus empresas y explotaciones crear empleo y competir en buena lid es alucinante que los gobiernos de pp y psoe durante décadas se hayan limitado a subir impuestos cargas obligaciones restricciones inspecciones y formularios siempre hay una excusa que si la crisis que si el clima que si ahora hay que pagar la deuda de los separatistas que si la ayuda internacional los nuestros a pagar más impuestos y los de fuera colando sus productos en desleal competencia por culpa de acuerdos comerciales firmados en bruselas que les arruinan escuchar y proponer aprender y trabajar gracias,133
message2037,26.2.2025,22:31:55,UTC+01:00,Jorge Buxadé 🇪🇸,"El cambio es imparable. El régimen en pánico se revuelve con ruido y bulos.
Que no te distraigan cortinas de humo, titulares tramposos y preguntas capciosas: unas dan vergüenza; otras, risas. Aquí se ríe hasta el que pregunta 😂
España y los españoles, nuestra única prioridad 🇪🇸💪",el cambio es imparable el régimen en pánico se revuelve con ruido y bulos que no te distraigan cortinas de humo titulares tramposos y preguntas capciosas unas dan vergüenza otras risas aquí se ríe hasta el que pregunta españa y los españoles nuestra única prioridad,45
message2175,26.3.2025,14:02:55,UTC+01:00,Jorge Buxadé 🇪🇸,"¿Sabías que este trasvase llevaba 28 años sin abrirse y ha evitado una catástrofe?
🌧️💦 Gracias a esta gran obra de ingeniería, hoy no estamos lamentando pérdidas humanas ni pueblos anegados.
Construido en los años 40 y 50, este trasvase ha salvado vidas y campos enteros, y además lleva agua a zonas más secas para sostener nuestra agricultura.
🌾🚜 ¡Eso es planificación y amor por España!
Desde 1997 estaba seco, esperando este momento. Si dependiera de los socialistas y populares, estaría abandonado bajo capas de ideología climática y burocracia.
❌🌍
¿Cuántas tragedias podríamos haber evitado si durante décadas hubiéramos tenido gobernantes con patriotismo y sentido común?
🇪🇸🔥
Frente a ellos, VOX lo tiene claro:
✅ España necesita un Plan Hidrológico Nacional
✅ Hay que construir pantanos, trasvases y centrales energéticas
✅ Necesitamos soberanía, previsión y orgullo nacional
Con líderes como Santiago Abascal, volveremos a ser grandes otra vez.
⚡🚧💧
¡PLAN HIDROLÓGICO NACIONAL YA!
🇪🇸💪",sabías que este trasvase llevaba 28 años sin abrirse y ha evitado una catástrofe gracias a esta gran obra de ingeniería hoy no estamos lamentando pérdidas humanas ni pueblos anegados construido en los años 40 y 50 este trasvase ha salvado vidas y campos enteros y además lleva agua a zonas más secas para sostener nuestra agricultura eso es planificación y amor por españa desde 1997 estaba seco esperando este momento si dependiera de los socialistas y populares estaría abandonado bajo capas de ideología climática y burocracia cuántas tragedias podríamos haber evitado si durante décadas hubiéramos tenido gobernantes con patriotismo y sentido común frente a ellos vox lo tiene claro españa necesita un plan hidrológico nacional hay que construir pantanos trasvases y centrales energéticas necesitamos soberanía previsión y orgullo nacional con líderes como santiago abascal volveremos a ser grandes otra vez plan hidrológico nacional ya,145
message86,26.4.2020,15:35:59,UTC+01:00,Jorge Buxadé 🇪🇸,"Entrevista completa ayer a Santiago Abascal, Presidente de Vox 📹 Puedes ver la
entrevista completa
aquí:
https://youtube.com/watch?v=ox2XmkJgdmY",entrevista completa ayer a santiago abascal presidente de vox puedes ver la entrevista completa aquí,15
message171,26.5.2020,12:41:42,UTC+01:00,Jorge Buxadé 🇪🇸,"El gobierno no va a dejar nada en pie. El Estado de Derecho se sustenta en la Ley y en instituciones al servicio de la Nación.
Distinguir gobierno y estado es de 1° de democracia.
El DAO de
@guardiacivil
presenta su dimisión tras cese Pérez de los Cobos
https://twitter.com/jorgebuxade/status/1265231077779607552?s=21",el gobierno no va a dejar nada en pie el estado de derecho se sustenta en la ley y en instituciones al servicio de la nación distinguir gobierno y estado es de 1 de democracia el dao de guardiacivil presenta su dimisión tras cese pérez de los cobos,48
message169,26.5.2020,10:07:28,UTC+01:00,Jorge Buxadé 🇪🇸,"🔴 Hace un año. Con este lema de
#EnEuropaPorEspaña
concurríamos a las elecciones
@VOX_Europa_
y con esa consigna seguimos. Por desgracia, el vídeo más actual que nunca.
Gracias a
@hermanntertsch
@MazalyAguilar
@MargaPisa
y todo el equipo que hace posible el trabajo diario.",hace un año con este lema de eneuropaporespaña concurríamos a las elecciones vox_europa_ y con esa consigna seguimos por desgracia el vídeo más actual que nunca gracias a hermanntertsch mazalyaguilar margapisa y todo el equipo que hace posible el trabajo diario,41
message2447,26.5.2025,20:33:02,UTC+01:00,Jorge Buxadé 🇪🇸,"Ya estamos en
#ElHierro
, convertido por el bipartidismo en el principal centro logístico de la inmigración ilegal en Europa. Sabemos lo que hay que hacer, y queremos hacerlo.
#DeportacionesMasivas
#CombateLasMafias",ya estamos en elhierro convertido por el bipartidismo en el principal centro logístico de la inmigración ilegal en europa sabemos lo que hay que hacer y queremos hacerlo deportacionesmasivas combatelasmafias,30
message227,26.6.2020,18:45:38,UTC+01:00,Jorge Buxadé 🇪🇸,"💪🏼 Ya hemos vencido al régimen socialista en Andalucia.
Derribamos barreras en abril de 2019.
Subimos la cota en noviembre y nos convertimos en tercera fuerza en España.
Estos
#Antifas
progres con sus consignas prefabricadas no nos amedrentan.
#GaliciaEsVerde
#VOXHablaPorTi",ya hemos vencido al régimen socialista en andalucia derribamos barreras en abril de 2019 subimos la cota en noviembre y nos convertimos en tercera fuerza en españa estos antifas progres con sus consignas prefabricadas no nos amedrentan galiciaesverde voxhablaporti,39
